  PID USER         NAME                       
    1 root         init
    2 root         [kthreadd]
    6 root         [mm_percpu_wq]
    7 root         [ksoftirqd/0]
    8 root         [rcu_preempt]
    9 root         [rcu_sched]
   10 root         [rcu_bh]
   11 root         [migration/0]
   12 root         [cpuhp/0]
   13 root         [cpuhp/1]
   14 root         [migration/1]
   15 root         [ksoftirqd/1]
   17 root         [kworker/1:0H]
   18 root         [cpuhp/2]
   19 root         [migration/2]
   20 root         [ksoftirqd/2]
   22 root         [kworker/2:0H]
   23 root         [cpuhp/3]
   24 root         [migration/3]
   25 root         [ksoftirqd/3]
   27 root         [kworker/3:0H]
   28 root         [kdevtmpfs]
   43 root         [kworker/3:1]
  261 root         [oom_reaper]
  263 root         [writeback]
  272 root         [kcompactd0]
  277 root         [ksmd]
  282 root         [khugepaged]
  285 root         [crypto]
  291 root         [kblockd]
  492 root         [devfreq_wq]
  505 root         [cfg80211]
  509 root         [watchdogd]
  522 root         [rpciod]
  523 root         [xprtiod]
  574 root         [kauditd]
  578 root         [kswapd0]
  633 root         [kworker/u9:0]
  656 root         [nfsiod]
  744 root         [irq/61-ec700000]
  745 root         [irq/62-ec700000]
  746 root         [irq/63-ec700000]
  747 root         [irq/64-ec700000]
  748 root         [irq/65-ec700000]
  749 root         [irq/66-ec700000]
  750 root         [irq/67-ec700000]
  751 root         [irq/68-ec700000]
  752 root         [irq/69-ec700000]
  753 root         [irq/70-ec700000]
  754 root         [irq/71-ec700000]
  755 root         [irq/72-ec700000]
  756 root         [irq/73-ec700000]
  757 root         [irq/74-ec700000]
  758 root         [irq/75-ec700000]
  770 root         [irq/77-ec720000]
  773 root         [irq/78-ec720000]
  777 root         [irq/79-ec720000]
  778 root         [irq/80-ec720000]
  779 root         [irq/81-ec720000]
  780 root         [irq/82-ec720000]
  781 root         [irq/83-ec720000]
  782 root         [irq/84-ec720000]
  783 root         [irq/85-ec720000]
  784 root         [irq/86-ec720000]
  785 root         [irq/87-ec720000]
  786 root         [irq/88-ec720000]
  787 root         [irq/89-ec720000]
  788 root         [irq/90-ec720000]
  789 root         [irq/91-ec720000]
  790 root         [irq/92-ec720000]
  867 root         [hwrng]
  909 root         [kworker/0:1H]
  943 root         [memory_wq]
  963 root         [vfio-irqfd-clea]
  998 root         [dm_bufio_cache]
 1017 root         [rcar-ion]
 1024 root         [irq/109-asm330l]
 1034 root         [optee_debug_log]
 1065 root         [ipv6_addrconf]
 1089 root         [kworker/2:2]
 1112 root         [kdmflush]
 1114 root         [bioset]
 1115 root         [kverityd]
 1117 root         [bioset]
 1119 root         [kworker/2:1H]
 1120 root         [kworker/1:1H]
 1121 root         [ext4-rsv-conver]
 1123 root         [kworker/3:1H]
 1300 root         [kdmflush]
 1301 root         [bioset]
 1302 root         [kverityd]
 1303 root         [bioset]
 1307 root         [ext4-rsv-conver]
 1312 root         init
 1313 root         init
 1314 root         ueventd
 1629 root         android.hardware.automotive.vehicle@2.0-service.aptiv
 1630 root         tee-supp
 1639 root         [jbd2/vdb-8]
 1640 root         [ext4-rsv-conver]
 1645 root         [jbd2/vdg-8]
 1646 root         [ext4-rsv-conver]
 1650 root         [jbd2/vdf-8]
 1651 root         [ext4-rsv-conver]
 1655 root         [jbd2/vdk-8]
 1656 root         [ext4-rsv-conver]
 1657 logd         logd
 1658 system       servicemanager
 1659 system       hwservicemanager
 1660 system       vndservicemanager
 1667 automotive_evs android.hardware.automotive.evs@1.0-service.aptiv
 1668 system       android.hardware.keymaster@3.0-service.renesas
 1672 root         vold
 1706 root         netd
 1707 root         zygote64
 1708 root         zygote
 1719 system       android.hidl.allocator@1.0-service
 1720 system       android.hardware.audio.effect@4.0-service.renesas
 1721 audioserver  android.hardware.audio@4.0-service.aptiv
 1722 audioserver  android.hardware.automotive.audiocontrol@1.0-service
 1723 bluetooth    android.hardware.bluetooth@1.0-service.gwmv3
 1724 root         iptables-restore
 1725 root         ip6tables-restore
 1726 audioserver  android.hardware.broadcastradio@1.1-service.aptiv
 1728 system       android.hardware.gatekeeper@1.0-service.renesas
 1729 system       android.hardware.gnss@1.1-service.aptiv
 1730 system       android.hardware.graphics.allocator@2.0-service
 1731 system       android.hardware.graphics.composer@2.1-service.renesas
 1734 system       android.hardware.health@2.0-service.renesas
 1735 system       android.hardware.light@2.0-service.aptiv
 1736 system       android.hardware.sensors@1.0-service.aptiv
 1737 system       android.hardware.usb@1.0-service.renesas
 1738 wifi         android.hardware.wifi@1.0-service
 1739 system       vendor.aptiv.audiocontrol@1.0-service
 1753 system       vendor.aptiv.configuration@1.0-service
 1756 iap          vendor.aptiv.hardware.iap-service
 1757 system       vendor.aptiv.sensorsext@1.0-service
 1761 shell        vendor.aptiv.tbox@1.0-service
 1763 root         [pvr_timer]
 1764 system       aptivsystemserver
 1765 root         [pvr_defer_free]
 1766 audioserver  audioserver
 1767 root         [pvr_device_wdg]
 1768 root         [pvr_cacheop]
 1769 root         [pvr_fce_status]
 1777 root         lmkd
 1779 system       surfaceflinger
 1782 system       thermalserviced
 1792 root         irqbalance
 1812 root         [pvr_misr]
 1813 root         [pvr_misr]
 1838 root         [khvcd]
 1961 system       aptivethernetserver
 1962 cameraserver cameraserver
 1963 drm          drmserver
 1964 incidentd    incidentd
 1966 root         installd
 1968 keystore     keystore
 1970 mdnsr        mdnsd
 1971 media        mediadrmserver
 1973 mediaex      media.extractor
 1975 media        media.metrics
 1982 media        mediaserver
 1984 statsd       statsd
 1985 root         storaged
 1986 wifi         wificond
 1989 mediacodec   media.codec
 1992 system       aptivlogserver
 1995 system       gatekeeperd
 2002 tombstoned   tombstoned
 2128 system       system_server
 2165 shell        sh
 2212 system       logcatd
 2213 system       logcatd
 2216 system       logcatd
 2252 media_rw     [sdcard]
 2291 u0_a23       com.hanvon.inputmethod.callaime
 2298 system       com.android.car
 2341 webview_zygote webview_zygote
 2400 system       com.aptiv.car
 2451 system       com.aptiv.thememanager
 2526 system       com.android.systemui
 2568 system       com.beantechs.datatrackservice
 2584 system       com.gwmv3.launcher
 2602 system       com.aptiv.aptivcommonservice
 2629 system       com.aptiv.camera
 2661 u0_a13       com.aptiv.input
 2731 u0_a12       android.ext.services
 2962 system       vendor.aptiv.systemcontrol@1.0-service
 2972 u0_a4        android.process.media
 2979 system       com.aptiv.ethernet
 2998 system       vendor.aptiv.tbox
 3030 system       com.redbend.client
 3050 system       com.gwmv3.bluetooth
 3104 secure_element com.android.se
 3139 system       com.aptiv.thirdmediaparty
 3162 system       com.aptiv.carplay
 3184 system       com.aptiv.media
 3207 system       com.aptiv.radio
 3238 system       com.citos.androidauto
 3267 system       com.gwmv3.media.player
 3284 system       com.aptiv.wifi
 3554 system       com.aptiv.phoneprojectionmanager
 3581 system       com.aptiv.usbdetecter
 3604 system       com.gwmv3.setting.settingservice
 3684 shell        someipd
 3685 shell        someipd
 3686 shell        someipd
 3911 u0_a0        to.sok.wifi
 3930 system       com.gwmv3.setting
 4305 system       com.gwmv3.vehicle
 4324 root         [kworker/u8:1]
 4525 u0_a27       to.sok.settings
 4903 root         [kworker/u8:2]
 5031 bluetooth    com.android.bluetooth
 5084 root         [dhd_eventd]
 5086 root         [dhd_watchdog_th]
 5087 root         [dhd_dpc]
 5088 root         [dhd_rxf]
 5161 system       com.gwmv3.media
 5198 root         [kworker/u8:4]
 5253 system       com.android.settings
 5421 wifi         hostapd
 5427 dns_tether   dnsmasq
 5798 root         [kworker/2:0]
 6184 wifi         wpa_supplicant
 6347 u0_a1        com.apkpure.aegon
 6589 u0_i0        com.android.webview:sandboxed_process0
 6720 u0_a9        com.android.packageinstaller
 7300 root         [kworker/u8:0]
 7423 root         [kworker/0:2]
 7445 u0_a29       com.softmedia.receiver
 7485 root         [kworker/3:0]
 7721 root         [kworker/1:2]
 8232 u0_a14       android.process.acore
 8442 root         [kworker/0:2H]
 8796 root         [kworker/1:0]
 8912 root         adbd
 8920 root         [kworker/0:0]
 9571 root         [kworker/0:0H]
 9843 root         ps
